r_k,log_Re,target
252,4.21,0.4506
252,4.279,0.4349
252,4.465,0.3808
252,4.507,0.3636
252,4.549,0.3579
252,4.597,0.3562
252,4.644,0.3434
252,4.778,0.3257
252,4.82,0.3282
252,4.916,0.3222
252,4.987,0.3197
252,5.057,0.321
252,5.1,0.3228
252,5.173,0.3197
252,5.21,0.3276
252,5.283,0.3322
252,5.366,0.3416
252,5.494,0.3504
252,5.58,0.3562
252,5.623,0.3602
252,5.702,0.3636
252,4.708,0.3371
252,5.305,0.3328
252,5.544,0.3562
252,5.787,0.3661
252,4.748,0.3335
252,4.869,0.3228
252,4.954,0.321
252,5.134,0.321
252,5.255,0.3294
252,5.415,0.3434
252,5.58,0.3551
252,5.748,0.3608
252,5.845,0.3666
252,5.881,0.3688
252,5.924,0.3727
252,5.967,0.3705
252,5.991,0.3716
